 ******* Program HYDRUS
 ******* Upward infiltration with bottom tension                                
  
 Date:  15. 7.    Time:  10:27:29
 Units: L = cm   , T = sec  , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1       .00      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
    2       .25      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
    3       .49      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
    4       .72      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
    5       .95      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
    6      1.17      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
    7      1.39      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
    8      1.60      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
    9      1.80      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   10      2.00      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   11      2.20      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   12      2.40      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   13      2.59      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   14      2.77      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   15      2.95      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   16      3.13      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   17      3.31      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   18      3.47      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   19      3.64      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   20      3.80      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   21      3.98      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   22      4.15      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   23      4.32      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   24      4.48      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   25      4.64      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   26      4.80      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   27      4.95      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   28      5.09      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   29      5.24      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   30      5.38      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   31      5.51      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   32      5.65      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   33      5.78      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   34      5.91      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   35      6.03      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   36      6.16      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   37      6.28      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   38      6.40      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   39      6.51      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   40      6.62      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   41      6.73      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   42      6.84      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   43      6.95      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   44      7.05      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   45      7.15      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   46      7.24      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   47      7.34      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   48      7.43      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   49      7.51      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
   50      7.60      .047      .426        .0    .178E-03     1.000      .000     1.000     1.000     1.000
end
